image,ua,us,g,photonPosNum
a01_s03_g001\a001_s003_g001_0001.T.CW.mat,0.02,0.3,-0.95,7335
a01_s03_g001\a001_s003_g001_0002.T.CW.mat,0.02,0.3,-0.95,7306
a01_s03_g001\a001_s003_g001_0003.T.CW.mat,0.02,0.3,-0.95,7402
a01_s03_g001\a001_s003_g001_0004.T.CW.mat,0.02,0.3,-0.95,7398
a01_s03_g001\a001_s003_g001_0005.T.CW.mat,0.02,0.3,-0.95,7199
a01_s03_g001\a001_s003_g001_0006.T.CW.mat,0.02,0.3,-0.95,7286
a01_s03_g001\a001_s003_g001_0007.T.CW.mat,0.02,0.3,-0.95,7390
a01_s03_g001\a001_s003_g001_0008.T.CW.mat,0.02,0.3,-0.95,7412
a01_s03_g001\a001_s003_g001_0009.T.CW.mat,0.02,0.3,-0.95,7356
a01_s03_g001\a001_s003_g001_0010.T.CW.mat,0.02,0.3,-0.95,7228
a01_s03_g002\a001_s003_g002_0001.T.CW.mat,0.02,0.3,-0.85,14852
a01_s03_g002\a001_s003_g002_0002.T.CW.mat,0.02,0.3,-0.85,14890
a01_s03_g002\a001_s003_g002_0003.T.CW.mat,0.02,0.3,-0.85,14767
a01_s03_g002\a001_s003_g002_0004.T.CW.mat,0.02,0.3,-0.85,14885
a01_s03_g002\a001_s003_g002_0005.T.CW.mat,0.02,0.3,-0.85,14854
a01_s03_g002\a001_s003_g002_0006.T.CW.mat,0.02,0.3,-0.85,14728
a01_s03_g002\a001_s003_g002_0007.T.CW.mat,0.02,0.3,-0.85,14832
a01_s03_g002\a001_s003_g002_0008.T.CW.mat,0.02,0.3,-0.85,14810
a01_s03_g002\a001_s003_g002_0009.T.CW.mat,0.02,0.3,-0.85,14737
a01_s03_g002\a001_s003_g002_0010.T.CW.mat,0.02,0.3,-0.85,14887
a01_s03_g003\a001_s003_g003_0001.T.CW.mat,0.02,0.3,-0.75,21332
a01_s03_g003\a001_s003_g003_0002.T.CW.mat,0.02,0.3,-0.75,21167
a01_s03_g003\a001_s003_g003_0003.T.CW.mat,0.02,0.3,-0.75,21518
a01_s03_g003\a001_s003_g003_0004.T.CW.mat,0.02,0.3,-0.75,21394
a01_s03_g003\a001_s003_g003_0005.T.CW.mat,0.02,0.3,-0.75,21277
a01_s03_g003\a001_s003_g003_0006.T.CW.mat,0.02,0.3,-0.75,21376
a01_s03_g003\a001_s003_g003_0007.T.CW.mat,0.02,0.3,-0.75,21276
a01_s03_g003\a001_s003_g003_0008.T.CW.mat,0.02,0.3,-0.75,21370
