image,ua,us,g,photonPosNum
a01_s03_g011\a001_s003_g011_0001.T.CW.mat,0.02,0.3,0.0499999999999999,41350
a01_s03_g011\a001_s003_g011_0002.T.CW.mat,0.02,0.3,0.0499999999999999,40977
a01_s03_g011\a001_s003_g011_0003.T.CW.mat,0.02,0.3,0.0499999999999999,40868
a01_s03_g011\a001_s003_g011_0004.T.CW.mat,0.02,0.3,0.0499999999999999,40910
a01_s03_g011\a001_s003_g011_0005.T.CW.mat,0.02,0.3,0.0499999999999999,40801
a01_s03_g011\a001_s003_g011_0006.T.CW.mat,0.02,0.3,0.0499999999999999,41195
a01_s03_g011\a001_s003_g011_0007.T.CW.mat,0.02,0.3,0.0499999999999999,40901
a01_s03_g011\a001_s003_g011_0008.T.CW.mat,0.02,0.3,0.0499999999999999,41196
a01_s03_g011\a001_s003_g011_0009.T.CW.mat,0.02,0.3,0.0499999999999999,40938
a01_s03_g011\a001_s003_g011_0010.T.CW.mat,0.02,0.3,0.0499999999999999,40793
a01_s03_g012\a001_s003_g012_0001.T.CW.mat,0.02,0.3,0.15,39181
a01_s03_g012\a001_s003_g012_0002.T.CW.mat,0.02,0.3,0.15,39406
a01_s03_g012\a001_s003_g012_0003.T.CW.mat,0.02,0.3,0.15,39241
a01_s03_g012\a001_s003_g012_0004.T.CW.mat,0.02,0.3,0.15,39377
a01_s03_g012\a001_s003_g012_0005.T.CW.mat,0.02,0.3,0.15,39168
a01_s03_g012\a001_s003_g012_0006.T.CW.mat,0.02,0.3,0.15,39256
a01_s03_g012\a001_s003_g012_0007.T.CW.mat,0.02,0.3,0.15,39043
a01_s03_g012\a001_s003_g012_0008.T.CW.mat,0.02,0.3,0.15,39331
a01_s03_g012\a001_s003_g012_0009.T.CW.mat,0.02,0.3,0.15,39270
a01_s03_g012\a001_s003_g012_0010.T.CW.mat,0.02,0.3,0.15,39241
a01_s03_g013\a001_s003_g013_0001.T.CW.mat,0.02,0.3,0.25,36622
a01_s03_g013\a001_s003_g013_0002.T.CW.mat,0.02,0.3,0.25,36953
a01_s03_g013\a001_s003_g013_0003.T.CW.mat,0.02,0.3,0.25,36521
a01_s03_g013\a001_s003_g013_0004.T.CW.mat,0.02,0.3,0.25,36823
a01_s03_g013\a001_s003_g013_0005.T.CW.mat,0.02,0.3,0.25,36710
a01_s03_g013\a001_s003_g013_0006.T.CW.mat,0.02,0.3,0.25,36697
a01_s03_g013\a001_s003_g013_0007.T.CW.mat,0.02,0.3,0.25,36659
a01_s03_g013\a001_s003_g013_0008.T.CW.mat,0.02,0.3,0.25,36445
a01_s03_g013\a001_s003_g013_0009.T.CW.mat,0.02,0.3,0.25,36518
a01_s03_g013\a001_s003_g013_0010.T.CW.mat,0.02,0.3,0.25,36351
a01_s03_g014\a001_s003_g014_0001.T.CW.mat,0.02,0.3,0.35,33115
a01_s03_g014\a001_s003_g014_0002.T.CW.mat,0.02,0.3,0.35,33164
a01_s03_g014\a001_s003_g014_0003.T.CW.mat,0.02,0.3,0.35,32906
a01_s03_g014\a001_s003_g014_0004.T.CW.mat,0.02,0.3,0.35,33342
a01_s03_g014\a001_s003_g014_0005.T.CW.mat,0.02,0.3,0.35,33088
a01_s03_g014\a001_s003_g014_0006.T.CW.mat,0.02,0.3,0.35,33334
a01_s03_g014\a001_s003_g014_0007.T.CW.mat,0.02,0.3,0.35,32926
a01_s03_g014\a001_s003_g014_0008.T.CW.mat,0.02,0.3,0.35,33300
a01_s03_g014\a001_s003_g014_0009.T.CW.mat,0.02,0.3,0.35,33099
a01_s03_g014\a001_s003_g014_0010.T.CW.mat,0.02,0.3,0.35,33165
a01_s03_g015\a001_s003_g015_0001.T.CW.mat,0.02,0.3,0.45,28914
a01_s03_g015\a001_s003_g015_0002.T.CW.mat,0.02,0.3,0.45,29123
a01_s03_g015\a001_s003_g015_0003.T.CW.mat,0.02,0.3,0.45,29024
a01_s03_g015\a001_s003_g015_0004.T.CW.mat,0.02,0.3,0.45,28993
a01_s03_g015\a001_s003_g015_0005.T.CW.mat,0.02,0.3,0.45,28852
a01_s03_g015\a001_s003_g015_0006.T.CW.mat,0.02,0.3,0.45,28897
a01_s03_g015\a001_s003_g015_0007.T.CW.mat,0.02,0.3,0.45,28826
a01_s03_g015\a001_s003_g015_0008.T.CW.mat,0.02,0.3,0.45,28781
a01_s03_g015\a001_s003_g015_0009.T.CW.mat,0.02,0.3,0.45,29081
a01_s03_g015\a001_s003_g015_0010.T.CW.mat,0.02,0.3,0.45,29071
a01_s03_g016\a001_s003_g016_0001.T.CW.mat,0.02,0.3,0.55,24290
a01_s03_g016\a001_s003_g016_0002.T.CW.mat,0.02,0.3,0.55,24353
a01_s03_g016\a001_s003_g016_0003.T.CW.mat,0.02,0.3,0.55,24270
a01_s03_g016\a001_s003_g016_0004.T.CW.mat,0.02,0.3,0.55,24329
a01_s03_g016\a001_s003_g016_0005.T.CW.mat,0.02,0.3,0.55,24200
a01_s03_g016\a001_s003_g016_0006.T.CW.mat,0.02,0.3,0.55,24391
a01_s03_g016\a001_s003_g016_0007.T.CW.mat,0.02,0.3,0.55,24241
a01_s03_g016\a001_s003_g016_0008.T.CW.mat,0.02,0.3,0.55,24160
a01_s03_g016\a001_s003_g016_0009.T.CW.mat,0.02,0.3,0.55,24380
a01_s03_g016\a001_s003_g016_0010.T.CW.mat,0.02,0.3,0.55,24146
a01_s03_g017\a001_s003_g017_0001.T.CW.mat,0.02,0.3,0.65,19353
a01_s03_g017\a001_s003_g017_0002.T.CW.mat,0.02,0.3,0.65,19342
a01_s03_g017\a001_s003_g017_0003.T.CW.mat,0.02,0.3,0.65,19290
a01_s03_g017\a001_s003_g017_0004.T.CW.mat,0.02,0.3,0.65,19212
a01_s03_g017\a001_s003_g017_0005.T.CW.mat,0.02,0.3,0.65,19118
a01_s03_g017\a001_s003_g017_0006.T.CW.mat,0.02,0.3,0.65,19254
a01_s03_g017\a001_s003_g017_0007.T.CW.mat,0.02,0.3,0.65,19256
a01_s03_g017\a001_s003_g017_0008.T.CW.mat,0.02,0.3,0.65,19233
a01_s03_g017\a001_s003_g017_0009.T.CW.mat,0.02,0.3,0.65,19250
a01_s03_g017\a001_s003_g017_0010.T.CW.mat,0.02,0.3,0.65,19356
a01_s03_g018\a001_s003_g018_0001.T.CW.mat,0.02,0.3,0.75,13917
a01_s03_g018\a001_s003_g018_0002.T.CW.mat,0.02,0.3,0.75,13853
a01_s03_g018\a001_s003_g018_0003.T.CW.mat,0.02,0.3,0.75,13934
a01_s03_g018\a001_s003_g018_0004.T.CW.mat,0.02,0.3,0.75,13911
a01_s03_g018\a001_s003_g018_0005.T.CW.mat,0.02,0.3,0.75,13917
a01_s03_g018\a001_s003_g018_0006.T.CW.mat,0.02,0.3,0.75,13975
a01_s03_g018\a001_s003_g018_0007.T.CW.mat,0.02,0.3,0.75,13966
a01_s03_g018\a001_s003_g018_0008.T.CW.mat,0.02,0.3,0.75,13880
a01_s03_g018\a001_s003_g018_0009.T.CW.mat,0.02,0.3,0.75,13747
a01_s03_g018\a001_s003_g018_0010.T.CW.mat,0.02,0.3,0.75,13963
a01_s03_g019\a001_s003_g019_0001.T.CW.mat,0.02,0.3,0.85,8662
a01_s03_g019\a001_s003_g019_0002.T.CW.mat,0.02,0.3,0.85,8617
a01_s03_g019\a001_s003_g019_0003.T.CW.mat,0.02,0.3,0.85,8589
a01_s03_g019\a001_s003_g019_0004.T.CW.mat,0.02,0.3,0.85,8618
a01_s03_g019\a001_s003_g019_0005.T.CW.mat,0.02,0.3,0.85,8586
a01_s03_g019\a001_s003_g019_0006.T.CW.mat,0.02,0.3,0.85,8567
a01_s03_g019\a001_s003_g019_0007.T.CW.mat,0.02,0.3,0.85,8654
a01_s03_g019\a001_s003_g019_0008.T.CW.mat,0.02,0.3,0.85,8632
a01_s03_g019\a001_s003_g019_0009.T.CW.mat,0.02,0.3,0.85,8537
a01_s03_g019\a001_s003_g019_0010.T.CW.mat,0.02,0.3,0.85,8637
a01_s03_g020\a001_s003_g020_0001.T.CW.mat,0.02,0.3,0.95,3255
a01_s03_g020\a001_s003_g020_0002.T.CW.mat,0.02,0.3,0.95,3330
a01_s03_g020\a001_s003_g020_0003.T.CW.mat,0.02,0.3,0.95,3395
a01_s03_g020\a001_s003_g020_0004.T.CW.mat,0.02,0.3,0.95,3372
