image,ua,us,g,photonPosNum
a01_s01_g001\a001_s001_g001_0001.T.CW,0.02,0.03,-0.95,-1
a01_s01_g001\a001_s001_g001_0002.T.CW,0.02,0.03,-0.95,-1
a01_s01_g001\a001_s001_g001_0003.T.CW,0.02,0.03,-0.95,-1
a01_s01_g001\a001_s001_g001_0004.T.CW,0.02,0.03,-0.95,-1
a01_s01_g001\a001_s001_g001_0005.T.CW,0.02,0.03,-0.95,-1
a01_s01_g001\a001_s001_g001_0006.T.CW,0.02,0.03,-0.95,-1
a01_s01_g001\a001_s001_g001_0007.T.CW,0.02,0.03,-0.95,-1
a01_s01_g001\a001_s001_g001_0008.T.CW,0.02,0.03,-0.95,-1
a01_s01_g001\a001_s001_g001_0009.T.CW,0.02,0.03,-0.95,-1
a01_s01_g001\a001_s001_g001_0010.T.CW,0.02,0.03,-0.95,-1
a01_s01_g002\a001_s001_g002_0001.T.CW,0.02,0.03,-0.85,-1
a01_s01_g002\a001_s001_g002_0002.T.CW,0.02,0.03,-0.85,-1
a01_s01_g002\a001_s001_g002_0003.T.CW,0.02,0.03,-0.85,-1
a01_s01_g002\a001_s001_g002_0004.T.CW,0.02,0.03,-0.85,-1
a01_s01_g002\a001_s001_g002_0005.T.CW,0.02,0.03,-0.85,-1
a01_s01_g002\a001_s001_g002_0006.T.CW,0.02,0.03,-0.85,-1
a01_s01_g002\a001_s001_g002_0007.T.CW,0.02,0.03,-0.85,-1
a01_s01_g002\a001_s001_g002_0008.T.CW,0.02,0.03,-0.85,-1
a01_s01_g002\a001_s001_g002_0009.T.CW,0.02,0.03,-0.85,-1
a01_s01_g002\a001_s001_g002_0010.T.CW,0.02,0.03,-0.85,-1
a01_s01_g003\a001_s001_g003_0001.T.CW,0.02,0.03,-0.75,-1
a01_s01_g003\a001_s001_g003_0002.T.CW,0.02,0.03,-0.75,-1
a01_s01_g003\a001_s001_g003_0003.T.CW,0.02,0.03,-0.75,-1
a01_s01_g003\a001_s001_g003_0004.T.CW,0.02,0.03,-0.75,-1
a01_s01_g003\a001_s001_g003_0005.T.CW,0.02,0.03,-0.75,-1
a01_s01_g003\a001_s001_g003_0006.T.CW,0.02,0.03,-0.75,-1
a01_s01_g003\a001_s001_g003_0007.T.CW,0.02,0.03,-0.75,-1
a01_s01_g003\a001_s001_g003_0008.T.CW,0.02,0.03,-0.75,-1
a01_s01_g003\a001_s001_g003_0009.T.CW,0.02,0.03,-0.75,-1
a01_s01_g003\a001_s001_g003_0010.T.CW,0.02,0.03,-0.75,-1
a01_s01_g004\a001_s001_g004_0001.T.CW,0.02,0.03,-0.65,-1
a01_s01_g004\a001_s001_g004_0002.T.CW,0.02,0.03,-0.65,-1
a01_s01_g004\a001_s001_g004_0003.T.CW,0.02,0.03,-0.65,-1
a01_s01_g004\a001_s001_g004_0004.T.CW,0.02,0.03,-0.65,-1
a01_s01_g004\a001_s001_g004_0005.T.CW,0.02,0.03,-0.65,-1
a01_s01_g004\a001_s001_g004_0006.T.CW,0.02,0.03,-0.65,-1
a01_s01_g004\a001_s001_g004_0007.T.CW,0.02,0.03,-0.65,-1
