image,ua,us,g,photonPosNum
a01_s03_g011\a001_s003_g011_0001.T.CW.mat,0.001,0.1,0,24332
a01_s03_g011\a001_s003_g011_0002.T.CW.mat,0.001,0.1,0,24543
a01_s03_g011\a001_s003_g011_0003.T.CW.mat,0.001,0.1,0,24343
a01_s03_g011\a001_s003_g011_0004.T.CW.mat,0.001,0.1,0,24352
a01_s03_g011\a001_s003_g011_0005.T.CW.mat,0.001,0.1,0,24393
a01_s03_g011\a001_s003_g011_0006.T.CW.mat,0.001,0.1,0,24406
a01_s03_g011\a001_s003_g011_0007.T.CW.mat,0.001,0.1,0,24255
a01_s03_g011\a001_s003_g011_0008.T.CW.mat,0.001,0.1,0,24374
a01_s03_g011\a001_s003_g011_0009.T.CW.mat,0.001,0.1,0,24369
a01_s03_g011\a001_s003_g011_0010.T.CW.mat,0.001,0.1,0,24503
a01_s03_g011\a001_s003_g011_0011.T.CW.mat,0.001,0.1,0,24345
a01_s03_g011\a001_s003_g011_0012.T.CW.mat,0.001,0.1,0,24125
a01_s03_g011\a001_s003_g011_0013.T.CW.mat,0.001,0.1,0,24601
a01_s03_g011\a001_s003_g011_0014.T.CW.mat,0.001,0.1,0,24321
a01_s03_g011\a001_s003_g011_0015.T.CW.mat,0.001,0.1,0,24460
a01_s03_g011\a001_s003_g011_0016.T.CW.mat,0.001,0.1,0,24407
a01_s03_g011\a001_s003_g011_0017.T.CW.mat,0.001,0.1,0,24298
a01_s03_g011\a001_s003_g011_0018.T.CW.mat,0.001,0.1,0,24437
a01_s03_g011\a001_s003_g011_0019.T.CW.mat,0.001,0.1,0,24384
a01_s03_g011\a001_s003_g011_0020.T.CW.mat,0.001,0.1,0,24428
a01_s03_g011\a001_s003_g011_0021.T.CW.mat,0.001,0.1,0,24678
a01_s03_g011\a001_s003_g011_0022.T.CW.mat,0.001,0.1,0,24636
a01_s03_g011\a001_s003_g011_0023.T.CW.mat,0.001,0.1,0,24433
a01_s03_g011\a001_s003_g011_0024.T.CW.mat,0.001,0.1,0,24269
a01_s03_g011\a001_s003_g011_0025.T.CW.mat,0.001,0.1,0,24333
a01_s03_g011\a001_s003_g011_0026.T.CW.mat,0.001,0.1,0,24231
a01_s03_g011\a001_s003_g011_0027.T.CW.mat,0.001,0.1,0,24541
a01_s03_g011\a001_s003_g011_0028.T.CW.mat,0.001,0.1,0,24434
a01_s03_g011\a001_s003_g011_0029.T.CW.mat,0.001,0.1,0,24299
a01_s03_g011\a001_s003_g011_0030.T.CW.mat,0.001,0.1,0,24301
a01_s03_g011\a001_s003_g011_0031.T.CW.mat,0.001,0.1,0,24570
a01_s03_g011\a001_s003_g011_0032.T.CW.mat,0.001,0.1,0,24515
a01_s03_g011\a001_s003_g011_0033.T.CW.mat,0.001,0.1,0,24389
a01_s03_g011\a001_s003_g011_0034.T.CW.mat,0.001,0.1,0,24293
a01_s03_g011\a001_s003_g011_0035.T.CW.mat,0.001,0.1,0,24130
a01_s03_g011\a001_s003_g011_0036.T.CW.mat,0.001,0.1,0,24495
a01_s03_g011\a001_s003_g011_0037.T.CW.mat,0.001,0.1,0,24489
a01_s03_g011\a001_s003_g011_0038.T.CW.mat,0.001,0.1,0,24661
a01_s03_g011\a001_s003_g011_0039.T.CW.mat,0.001,0.1,0,24531
a01_s03_g011\a001_s003_g011_0040.T.CW.mat,0.001,0.1,0,24193
a01_s03_g011\a001_s003_g011_0041.T.CW.mat,0.001,0.1,0,24273
a01_s03_g011\a001_s003_g011_0042.T.CW.mat,0.001,0.1,0,24568
a01_s03_g011\a001_s003_g011_0043.T.CW.mat,0.001,0.1,0,24554
a01_s03_g011\a001_s003_g011_0044.T.CW.mat,0.001,0.1,0,24373
a01_s03_g011\a001_s003_g011_0045.T.CW.mat,0.001,0.1,0,24400
a01_s03_g011\a001_s003_g011_0046.T.CW.mat,0.001,0.1,0,24637
