image,ua,us,g,photonPosNum
a01_s03_g002\a001_s003_g002_0001.T.CW.mat,0.001,0.1,-0.9,6534
a01_s03_g002\a001_s003_g002_0002.T.CW.mat,0.001,0.1,-0.9,6674
a01_s03_g002\a001_s003_g002_0003.T.CW.mat,0.001,0.1,-0.9,6566
a01_s03_g002\a001_s003_g002_0004.T.CW.mat,0.001,0.1,-0.9,6617
a01_s03_g002\a001_s003_g002_0005.T.CW.mat,0.001,0.1,-0.9,6611
a01_s03_g002\a001_s003_g002_0006.T.CW.mat,0.001,0.1,-0.9,6657
a01_s03_g002\a001_s003_g002_0007.T.CW.mat,0.001,0.1,-0.9,6662
a01_s03_g002\a001_s003_g002_0008.T.CW.mat,0.001,0.1,-0.9,6562
a01_s03_g002\a001_s003_g002_0009.T.CW.mat,0.001,0.1,-0.9,6616
a01_s03_g002\a001_s003_g002_0010.T.CW.mat,0.001,0.1,-0.9,6553
a01_s03_g002\a001_s003_g002_0011.T.CW.mat,0.001,0.1,-0.9,6676
a01_s03_g002\a001_s003_g002_0012.T.CW.mat,0.001,0.1,-0.9,6601
a01_s03_g002\a001_s003_g002_0013.T.CW.mat,0.001,0.1,-0.9,6678
a01_s03_g002\a001_s003_g002_0014.T.CW.mat,0.001,0.1,-0.9,6600
a01_s03_g002\a001_s003_g002_0015.T.CW.mat,0.001,0.1,-0.9,6667
a01_s03_g002\a001_s003_g002_0016.T.CW.mat,0.001,0.1,-0.9,6586
a01_s03_g002\a001_s003_g002_0017.T.CW.mat,0.001,0.1,-0.9,6566
a01_s03_g002\a001_s003_g002_0018.T.CW.mat,0.001,0.1,-0.9,6654
a01_s03_g002\a001_s003_g002_0019.T.CW.mat,0.001,0.1,-0.9,6578
a01_s03_g002\a001_s003_g002_0020.T.CW.mat,0.001,0.1,-0.9,6571
a01_s03_g002\a001_s003_g002_0021.T.CW.mat,0.001,0.1,-0.9,6539
a01_s03_g002\a001_s003_g002_0022.T.CW.mat,0.001,0.1,-0.9,6693
a01_s03_g002\a001_s003_g002_0023.T.CW.mat,0.001,0.1,-0.9,6576
a01_s03_g002\a001_s003_g002_0024.T.CW.mat,0.001,0.1,-0.9,6654
a01_s03_g002\a001_s003_g002_0025.T.CW.mat,0.001,0.1,-0.9,6589
a01_s03_g002\a001_s003_g002_0026.T.CW.mat,0.001,0.1,-0.9,6758
a01_s03_g002\a001_s003_g002_0027.T.CW.mat,0.001,0.1,-0.9,6653
a01_s03_g002\a001_s003_g002_0028.T.CW.mat,0.001,0.1,-0.9,6674
a01_s03_g002\a001_s003_g002_0029.T.CW.mat,0.001,0.1,-0.9,6613
a01_s03_g002\a001_s003_g002_0030.T.CW.mat,0.001,0.1,-0.9,6549
a01_s03_g002\a001_s003_g002_0031.T.CW.mat,0.001,0.1,-0.9,6556
a01_s03_g002\a001_s003_g002_0032.T.CW.mat,0.001,0.1,-0.9,6560
a01_s03_g002\a001_s003_g002_0033.T.CW.mat,0.001,0.1,-0.9,6544
a01_s03_g002\a001_s003_g002_0034.T.CW.mat,0.001,0.1,-0.9,6627
a01_s03_g002\a001_s003_g002_0035.T.CW.mat,0.001,0.1,-0.9,6703
a01_s03_g002\a001_s003_g002_0036.T.CW.mat,0.001,0.1,-0.9,6702
a01_s03_g002\a001_s003_g002_0037.T.CW.mat,0.001,0.1,-0.9,6613
a01_s03_g002\a001_s003_g002_0038.T.CW.mat,0.001,0.1,-0.9,6628
a01_s03_g002\a001_s003_g002_0039.T.CW.mat,0.001,0.1,-0.9,6707
a01_s03_g002\a001_s003_g002_0040.T.CW.mat,0.001,0.1,-0.9,6661
a01_s03_g003\a001_s003_g003_0001.T.CW.mat,0.001,0.1,-0.8,9645
a01_s03_g003\a001_s003_g003_0002.T.CW.mat,0.001,0.1,-0.8,9567
a01_s03_g003\a001_s003_g003_0003.T.CW.mat,0.001,0.1,-0.8,9660
a01_s03_g003\a001_s003_g003_0004.T.CW.mat,0.001,0.1,-0.8,9624
a01_s03_g003\a001_s003_g003_0005.T.CW.mat,0.001,0.1,-0.8,9669
a01_s03_g003\a001_s003_g003_0006.T.CW.mat,0.001,0.1,-0.8,9676
a01_s03_g003\a001_s003_g003_0007.T.CW.mat,0.001,0.1,-0.8,9748
a01_s03_g003\a001_s003_g003_0008.T.CW.mat,0.001,0.1,-0.8,9673
a01_s03_g003\a001_s003_g003_0009.T.CW.mat,0.001,0.1,-0.8,9625
a01_s03_g003\a001_s003_g003_0010.T.CW.mat,0.001,0.1,-0.8,9613
a01_s03_g003\a001_s003_g003_0011.T.CW.mat,0.001,0.1,-0.8,9562
a01_s03_g003\a001_s003_g003_0012.T.CW.mat,0.001,0.1,-0.8,9670
a01_s03_g003\a001_s003_g003_0013.T.CW.mat,0.001,0.1,-0.8,9694
a01_s03_g003\a001_s003_g003_0014.T.CW.mat,0.001,0.1,-0.8,9604
a01_s03_g003\a001_s003_g003_0015.T.CW.mat,0.001,0.1,-0.8,9636
a01_s03_g003\a001_s003_g003_0016.T.CW.mat,0.001,0.1,-0.8,9613
a01_s03_g003\a001_s003_g003_0017.T.CW.mat,0.001,0.1,-0.8,9492
a01_s03_g003\a001_s003_g003_0018.T.CW.mat,0.001,0.1,-0.8,9597
a01_s03_g003\a001_s003_g003_0019.T.CW.mat,0.001,0.1,-0.8,9638
a01_s03_g003\a001_s003_g003_0020.T.CW.mat,0.001,0.1,-0.8,9628
a01_s03_g003\a001_s003_g003_0021.T.CW.mat,0.001,0.1,-0.8,9585
a01_s03_g003\a001_s003_g003_0022.T.CW.mat,0.001,0.1,-0.8,9643
a01_s03_g003\a001_s003_g003_0023.T.CW.mat,0.001,0.1,-0.8,9606
a01_s03_g003\a001_s003_g003_0024.T.CW.mat,0.001,0.1,-0.8,9594
a01_s03_g003\a001_s003_g003_0025.T.CW.mat,0.001,0.1,-0.8,9701
a01_s03_g003\a001_s003_g003_0026.T.CW.mat,0.001,0.1,-0.8,9627
a01_s03_g003\a001_s003_g003_0027.T.CW.mat,0.001,0.1,-0.8,9644
a01_s03_g003\a001_s003_g003_0028.T.CW.mat,0.001,0.1,-0.8,9582
a01_s03_g003\a001_s003_g003_0029.T.CW.mat,0.001,0.1,-0.8,9590
a01_s03_g003\a001_s003_g003_0030.T.CW.mat,0.001,0.1,-0.8,9729
a01_s03_g003\a001_s003_g003_0031.T.CW.mat,0.001,0.1,-0.8,9724
a01_s03_g003\a001_s003_g003_0032.T.CW.mat,0.001,0.1,-0.8,9538
a01_s03_g003\a001_s003_g003_0033.T.CW.mat,0.001,0.1,-0.8,9544
a01_s03_g003\a001_s003_g003_0034.T.CW.mat,0.001,0.1,-0.8,9640
a01_s03_g003\a001_s003_g003_0035.T.CW.mat,0.001,0.1,-0.8,9673
a01_s03_g003\a001_s003_g003_0036.T.CW.mat,0.001,0.1,-0.8,9627
a01_s03_g003\a001_s003_g003_0037.T.CW.mat,0.001,0.1,-0.8,9777
a01_s03_g003\a001_s003_g003_0038.T.CW.mat,0.001,0.1,-0.8,9539
a01_s03_g003\a001_s003_g003_0039.T.CW.mat,0.001,0.1,-0.8,9669
a01_s03_g003\a001_s003_g003_0040.T.CW.mat,0.001,0.1,-0.8,9544
a01_s03_g004\a001_s003_g004_0001.T.CW.mat,0.001,0.1,-0.7,11700
a01_s03_g004\a001_s003_g004_0002.T.CW.mat,0.001,0.1,-0.7,11669
a01_s03_g004\a001_s003_g004_0003.T.CW.mat,0.001,0.1,-0.7,11625
a01_s03_g004\a001_s003_g004_0004.T.CW.mat,0.001,0.1,-0.7,11608
a01_s03_g004\a001_s003_g004_0005.T.CW.mat,0.001,0.1,-0.7,11810
a01_s03_g004\a001_s003_g004_0006.T.CW.mat,0.001,0.1,-0.7,11584
a01_s03_g004\a001_s003_g004_0007.T.CW.mat,0.001,0.1,-0.7,11605
a01_s03_g004\a001_s003_g004_0008.T.CW.mat,0.001,0.1,-0.7,11568
a01_s03_g004\a001_s003_g004_0009.T.CW.mat,0.001,0.1,-0.7,11648
a01_s03_g004\a001_s003_g004_0010.T.CW.mat,0.001,0.1,-0.7,11592
a01_s03_g004\a001_s003_g004_0011.T.CW.mat,0.001,0.1,-0.7,11808
a01_s03_g004\a001_s003_g004_0012.T.CW.mat,0.001,0.1,-0.7,11709
a01_s03_g004\a001_s003_g004_0013.T.CW.mat,0.001,0.1,-0.7,11647
a01_s03_g004\a001_s003_g004_0014.T.CW.mat,0.001,0.1,-0.7,11756
a01_s03_g004\a001_s003_g004_0015.T.CW.mat,0.001,0.1,-0.7,11654
