image,ua,us,g,photonPosNum
p01_g001\p01_g001_0001.T.CW.mat,0.00504,20.45447,0.55,62319
p01_g001\p01_g001_0002.T.CW.mat,0.00504,20.45447,0.55,62866
p01_g001\p01_g001_0003.T.CW.mat,0.00504,20.45447,0.55,62411
p01_g001\p01_g001_0004.T.CW.mat,0.00504,20.45447,0.55,62705
p01_g001\p01_g001_0005.T.CW.mat,0.00504,20.45447,0.55,62305
p01_g001\p01_g001_0006.T.CW.mat,0.00504,20.45447,0.55,62549
p01_g001\p01_g001_0007.T.CW.mat,0.00504,20.45447,0.55,62560
p01_g001\p01_g001_0008.T.CW.mat,0.00504,20.45447,0.55,62486
p01_g001\p01_g001_0009.T.CW.mat,0.00504,20.45447,0.55,62556
p01_g001\p01_g001_0010.T.CW.mat,0.00504,20.45447,0.55,62591
p01_g001\p01_g001_0011.T.CW.mat,0.00504,20.45447,0.55,62532
p01_g001\p01_g001_0012.T.CW.mat,0.00504,20.45447,0.55,62508
p01_g001\p01_g001_0013.T.CW.mat,0.00504,20.45447,0.55,62804
p01_g001\p01_g001_0014.T.CW.mat,0.00504,20.45447,0.55,62492
p01_g001\p01_g001_0015.T.CW.mat,0.00504,20.45447,0.55,62489
p01_g001\p01_g001_0016.T.CW.mat,0.00504,20.45447,0.55,62899
p01_g001\p01_g001_0017.T.CW.mat,0.00504,20.45447,0.55,62412
p01_g001\p01_g001_0018.T.CW.mat,0.00504,20.45447,0.55,62698
p01_g001\p01_g001_0019.T.CW.mat,0.00504,20.45447,0.55,62347
p01_g001\p01_g001_0020.T.CW.mat,0.00504,20.45447,0.55,62304
p01_g001\p01_g001_0021.T.CW.mat,0.00504,20.45447,0.55,62576
p01_g001\p01_g001_0022.T.CW.mat,0.00504,20.45447,0.55,62629
p01_g001\p01_g001_0023.T.CW.mat,0.00504,20.45447,0.55,62579
p01_g001\p01_g001_0024.T.CW.mat,0.00504,20.45447,0.55,62600
p01_g001\p01_g001_0025.T.CW.mat,0.00504,20.45447,0.55,62565
p01_g001\p01_g001_0026.T.CW.mat,0.00504,20.45447,0.55,62551
p01_g001\p01_g001_0027.T.CW.mat,0.00504,20.45447,0.55,62503
