image,ua,us,g,photonPosNum
a01_s03_g011\a001_s003_g011_0081.T.CW.mat,0.001,0.1,0,24392
a01_s03_g011\a001_s003_g011_0082.T.CW.mat,0.001,0.1,0,24462
a01_s03_g011\a001_s003_g011_0083.T.CW.mat,0.001,0.1,0,24499
a01_s03_g011\a001_s003_g011_0084.T.CW.mat,0.001,0.1,0,24535
a01_s03_g011\a001_s003_g011_0085.T.CW.mat,0.001,0.1,0,24566
a01_s03_g011\a001_s003_g011_0086.T.CW.mat,0.001,0.1,0,24197
a01_s03_g011\a001_s003_g011_0087.T.CW.mat,0.001,0.1,0,24450
a01_s03_g011\a001_s003_g011_0088.T.CW.mat,0.001,0.1,0,24316
a01_s03_g011\a001_s003_g011_0089.T.CW.mat,0.001,0.1,0,24691
a01_s03_g011\a001_s003_g011_0090.T.CW.mat,0.001,0.1,0,24194
a01_s03_g011\a001_s003_g011_0091.T.CW.mat,0.001,0.1,0,24387
a01_s03_g011\a001_s003_g011_0092.T.CW.mat,0.001,0.1,0,24449
a01_s03_g011\a001_s003_g011_0093.T.CW.mat,0.001,0.1,0,24568
a01_s03_g011\a001_s003_g011_0094.T.CW.mat,0.001,0.1,0,24600
a01_s03_g011\a001_s003_g011_0095.T.CW.mat,0.001,0.1,0,24623
a01_s03_g011\a001_s003_g011_0096.T.CW.mat,0.001,0.1,0,24585
a01_s03_g011\a001_s003_g011_0097.T.CW.mat,0.001,0.1,0,24350
a01_s03_g011\a001_s003_g011_0098.T.CW.mat,0.001,0.1,0,24278
a01_s03_g011\a001_s003_g011_0099.T.CW.mat,0.001,0.1,0,24107
a01_s03_g011\a001_s003_g011_0100.T.CW.mat,0.001,0.1,0,24437
a01_s03_g012\a001_s003_g012_0081.T.CW.mat,0.001,0.1,0.1,11800
a01_s03_g012\a001_s003_g012_0082.T.CW.mat,0.001,0.1,0.1,11860
a01_s03_g012\a001_s003_g012_0083.T.CW.mat,0.001,0.1,0.1,11903
a01_s03_g012\a001_s003_g012_0084.T.CW.mat,0.001,0.1,0.1,11892
a01_s03_g012\a001_s003_g012_0085.T.CW.mat,0.001,0.1,0.1,11889
