image,ua,us,g,photonPosNum
a01_s03_g002\a001_s003_g002_0081.T.CW.mat,0.001,0.1,-0.9,6626
a01_s03_g002\a001_s003_g002_0082.T.CW.mat,0.001,0.1,-0.9,6597
a01_s03_g002\a001_s003_g002_0083.T.CW.mat,0.001,0.1,-0.9,6627
a01_s03_g002\a001_s003_g002_0084.T.CW.mat,0.001,0.1,-0.9,6592
a01_s03_g002\a001_s003_g002_0085.T.CW.mat,0.001,0.1,-0.9,6652
a01_s03_g002\a001_s003_g002_0086.T.CW.mat,0.001,0.1,-0.9,6637
a01_s03_g002\a001_s003_g002_0087.T.CW.mat,0.001,0.1,-0.9,6608
a01_s03_g002\a001_s003_g002_0088.T.CW.mat,0.001,0.1,-0.9,6501
a01_s03_g002\a001_s003_g002_0089.T.CW.mat,0.001,0.1,-0.9,6683
a01_s03_g002\a001_s003_g002_0090.T.CW.mat,0.001,0.1,-0.9,6669
a01_s03_g003\a001_s003_g003_0081.T.CW.mat,0.001,0.1,-0.8,9579
a01_s03_g003\a001_s003_g003_0082.T.CW.mat,0.001,0.1,-0.8,9577
a01_s03_g003\a001_s003_g003_0083.T.CW.mat,0.001,0.1,-0.8,9602
a01_s03_g003\a001_s003_g003_0084.T.CW.mat,0.001,0.1,-0.8,9628
a01_s03_g003\a001_s003_g003_0085.T.CW.mat,0.001,0.1,-0.8,9677
a01_s03_g003\a001_s003_g003_0086.T.CW.mat,0.001,0.1,-0.8,9578
a01_s03_g003\a001_s003_g003_0087.T.CW.mat,0.001,0.1,-0.8,9643
a01_s03_g003\a001_s003_g003_0088.T.CW.mat,0.001,0.1,-0.8,9552
a01_s03_g003\a001_s003_g003_0089.T.CW.mat,0.001,0.1,-0.8,9601
a01_s03_g003\a001_s003_g003_0090.T.CW.mat,0.001,0.1,-0.8,9715
a01_s03_g004\a001_s003_g004_0081.T.CW.mat,0.001,0.1,-0.7,11765
a01_s03_g004\a001_s003_g004_0082.T.CW.mat,0.001,0.1,-0.7,11772
a01_s03_g004\a001_s003_g004_0083.T.CW.mat,0.001,0.1,-0.7,11709
a01_s03_g004\a001_s003_g004_0084.T.CW.mat,0.001,0.1,-0.7,11670
a01_s03_g004\a001_s003_g004_0085.T.CW.mat,0.001,0.1,-0.7,11719
a01_s03_g004\a001_s003_g004_0086.T.CW.mat,0.001,0.1,-0.7,11685
a01_s03_g004\a001_s003_g004_0087.T.CW.mat,0.001,0.1,-0.7,11612
a01_s03_g004\a001_s003_g004_0088.T.CW.mat,0.001,0.1,-0.7,11708
a01_s03_g004\a001_s003_g004_0089.T.CW.mat,0.001,0.1,-0.7,11672
a01_s03_g004\a001_s003_g004_0090.T.CW.mat,0.001,0.1,-0.7,11618
