image,ua,us,g,photonPosNum
a01_s01_g001\a001_s001_g001_0081.T.CW,0.001,0.01,-1,-1
a01_s01_g001\a001_s001_g001_0082.T.CW,0.001,0.01,-1,-1
a01_s01_g001\a001_s001_g001_0083.T.CW,0.001,0.01,-1,-1
a01_s01_g001\a001_s001_g001_0084.T.CW,0.001,0.01,-1,-1
a01_s01_g001\a001_s001_g001_0085.T.CW,0.001,0.01,-1,-1
a01_s01_g001\a001_s001_g001_0086.T.CW,0.001,0.01,-1,-1
a01_s01_g001\a001_s001_g001_0087.T.CW,0.001,0.01,-1,-1
a01_s01_g001\a001_s001_g001_0088.T.CW,0.001,0.01,-1,-1
a01_s01_g001\a001_s001_g001_0089.T.CW,0.001,0.01,-1,-1
a01_s01_g001\a001_s001_g001_0090.T.CW,0.001,0.01,-1,-1
a01_s01_g001\a001_s001_g001_0091.T.CW,0.001,0.01,-1,-1
a01_s01_g001\a001_s001_g001_0092.T.CW,0.001,0.01,-1,-1
a01_s01_g001\a001_s001_g001_0093.T.CW,0.001,0.01,-1,-1
a01_s01_g001\a001_s001_g001_0094.T.CW,0.001,0.01,-1,-1
a01_s01_g001\a001_s001_g001_0095.T.CW,0.001,0.01,-1,-1
a01_s01_g001\a001_s001_g001_0096.T.CW,0.001,0.01,-1,-1
a01_s01_g001\a001_s001_g001_0097.T.CW,0.001,0.01,-1,-1
a01_s01_g001\a001_s001_g001_0098.T.CW,0.001,0.01,-1,-1
a01_s01_g001\a001_s001_g001_0099.T.CW,0.001,0.01,-1,-1
a01_s01_g001\a001_s001_g001_0100.T.CW,0.001,0.01,-1,-1
a01_s01_g002\a001_s001_g002_0081.T.CW,0.001,0.01,-0.9,-1
a01_s01_g002\a001_s001_g002_0082.T.CW,0.001,0.01,-0.9,-1
a01_s01_g002\a001_s001_g002_0083.T.CW,0.001,0.01,-0.9,-1
a01_s01_g002\a001_s001_g002_0084.T.CW,0.001,0.01,-0.9,-1
a01_s01_g002\a001_s001_g002_0085.T.CW,0.001,0.01,-0.9,-1
a01_s01_g002\a001_s001_g002_0086.T.CW,0.001,0.01,-0.9,-1
a01_s01_g002\a001_s001_g002_0087.T.CW,0.001,0.01,-0.9,-1
a01_s01_g002\a001_s001_g002_0088.T.CW,0.001,0.01,-0.9,-1
a01_s01_g002\a001_s001_g002_0089.T.CW,0.001,0.01,-0.9,-1
a01_s01_g002\a001_s001_g002_0090.T.CW,0.001,0.01,-0.9,-1
a01_s01_g002\a001_s001_g002_0091.T.CW,0.001,0.01,-0.9,-1
a01_s01_g002\a001_s001_g002_0092.T.CW,0.001,0.01,-0.9,-1
a01_s01_g002\a001_s001_g002_0093.T.CW,0.001,0.01,-0.9,-1
a01_s01_g002\a001_s001_g002_0094.T.CW,0.001,0.01,-0.9,-1
a01_s01_g002\a001_s001_g002_0095.T.CW,0.001,0.01,-0.9,-1
a01_s01_g002\a001_s001_g002_0096.T.CW,0.001,0.01,-0.9,-1
a01_s01_g002\a001_s001_g002_0097.T.CW,0.001,0.01,-0.9,-1
a01_s01_g002\a001_s001_g002_0098.T.CW,0.001,0.01,-0.9,-1
a01_s01_g002\a001_s001_g002_0099.T.CW,0.001,0.01,-0.9,-1
a01_s01_g002\a001_s001_g002_0100.T.CW,0.001,0.01,-0.9,-1
a01_s01_g003\a001_s001_g003_0081.T.CW,0.001,0.01,-0.8,-1
a01_s01_g003\a001_s001_g003_0082.T.CW,0.001,0.01,-0.8,-1
a01_s01_g003\a001_s001_g003_0083.T.CW,0.001,0.01,-0.8,-1
a01_s01_g003\a001_s001_g003_0084.T.CW,0.001,0.01,-0.8,-1
a01_s01_g003\a001_s001_g003_0085.T.CW,0.001,0.01,-0.8,-1
a01_s01_g003\a001_s001_g003_0086.T.CW,0.001,0.01,-0.8,-1
a01_s01_g003\a001_s001_g003_0087.T.CW,0.001,0.01,-0.8,-1
a01_s01_g003\a001_s001_g003_0088.T.CW,0.001,0.01,-0.8,-1
a01_s01_g003\a001_s001_g003_0089.T.CW,0.001,0.01,-0.8,-1
a01_s01_g003\a001_s001_g003_0090.T.CW,0.001,0.01,-0.8,-1
a01_s01_g003\a001_s001_g003_0091.T.CW,0.001,0.01,-0.8,-1
a01_s01_g003\a001_s001_g003_0092.T.CW,0.001,0.01,-0.8,-1
a01_s01_g003\a001_s001_g003_0093.T.CW,0.001,0.01,-0.8,-1
a01_s01_g003\a001_s001_g003_0094.T.CW,0.001,0.01,-0.8,-1
a01_s01_g003\a001_s001_g003_0095.T.CW,0.001,0.01,-0.8,-1
a01_s01_g003\a001_s001_g003_0096.T.CW,0.001,0.01,-0.8,-1
a01_s01_g003\a001_s001_g003_0097.T.CW,0.001,0.01,-0.8,-1
a01_s01_g003\a001_s001_g003_0098.T.CW,0.001,0.01,-0.8,-1
a01_s01_g003\a001_s001_g003_0099.T.CW,0.001,0.01,-0.8,-1
a01_s01_g003\a001_s001_g003_0100.T.CW,0.001,0.01,-0.8,-1
a01_s01_g004\a001_s001_g004_0081.T.CW,0.001,0.01,-0.7,-1
a01_s01_g004\a001_s001_g004_0082.T.CW,0.001,0.01,-0.7,-1
a01_s01_g004\a001_s001_g004_0083.T.CW,0.001,0.01,-0.7,-1
a01_s01_g004\a001_s001_g004_0084.T.CW,0.001,0.01,-0.7,-1
a01_s01_g004\a001_s001_g004_0085.T.CW,0.001,0.01,-0.7,-1
a01_s01_g004\a001_s001_g004_0086.T.CW,0.001,0.01,-0.7,-1
a01_s01_g004\a001_s001_g004_0087.T.CW,0.001,0.01,-0.7,-1
a01_s01_g004\a001_s001_g004_0088.T.CW,0.001,0.01,-0.7,-1
a01_s01_g004\a001_s001_g004_0089.T.CW,0.001,0.01,-0.7,-1
a01_s01_g004\a001_s001_g004_0090.T.CW,0.001,0.01,-0.7,-1
a01_s01_g004\a001_s001_g004_0091.T.CW,0.001,0.01,-0.7,-1
a01_s01_g004\a001_s001_g004_0092.T.CW,0.001,0.01,-0.7,-1
a01_s01_g004\a001_s001_g004_0093.T.CW,0.001,0.01,-0.7,-1
a01_s01_g004\a001_s001_g004_0094.T.CW,0.001,0.01,-0.7,-1
a01_s01_g004\a001_s001_g004_0095.T.CW,0.001,0.01,-0.7,-1
a01_s01_g004\a001_s001_g004_0096.T.CW,0.001,0.01,-0.7,-1
a01_s01_g004\a001_s001_g004_0097.T.CW,0.001,0.01,-0.7,-1
a01_s01_g004\a001_s001_g004_0098.T.CW,0.001,0.01,-0.7,-1
