image,ua,us,g,photonPosNum
p01_g001\p01_g001_0201.T.CW.mat,0.00504,20.45447,0.55,62780
p01_g001\p01_g001_0202.T.CW.mat,0.00504,20.45447,0.55,62528
p01_g001\p01_g001_0203.T.CW.mat,0.00504,20.45447,0.55,62667
p01_g001\p01_g001_0204.T.CW.mat,0.00504,20.45447,0.55,62627
p01_g001\p01_g001_0205.T.CW.mat,0.00504,20.45447,0.55,62621
p01_g001\p01_g001_0206.T.CW.mat,0.00504,20.45447,0.55,62504
p01_g001\p01_g001_0207.T.CW.mat,0.00504,20.45447,0.55,62543
p01_g001\p01_g001_0208.T.CW.mat,0.00504,20.45447,0.55,62455
p01_g001\p01_g001_0209.T.CW.mat,0.00504,20.45447,0.55,62595
p01_g001\p01_g001_0210.T.CW.mat,0.00504,20.45447,0.55,62661
p01_g001\p01_g001_0211.T.CW.mat,0.00504,20.45447,0.55,62521
p01_g001\p01_g001_0212.T.CW.mat,0.00504,20.45447,0.55,62835
p01_g001\p01_g001_0213.T.CW.mat,0.00504,20.45447,0.55,62321
p01_g001\p01_g001_0214.T.CW.mat,0.00504,20.45447,0.55,62502
p01_g001\p01_g001_0215.T.CW.mat,0.00504,20.45447,0.55,62669
p01_g001\p01_g001_0216.T.CW.mat,0.00504,20.45447,0.55,62532
p01_g001\p01_g001_0217.T.CW.mat,0.00504,20.45447,0.55,62789
p01_g001\p01_g001_0218.T.CW.mat,0.00504,20.45447,0.55,62546
p01_g001\p01_g001_0219.T.CW.mat,0.00504,20.45447,0.55,62755
p01_g001\p01_g001_0220.T.CW.mat,0.00504,20.45447,0.55,62523
p01_g001\p01_g001_0221.T.CW.mat,0.00504,20.45447,0.55,62558
p01_g001\p01_g001_0222.T.CW.mat,0.00504,20.45447,0.55,62924
p01_g001\p01_g001_0223.T.CW.mat,0.00504,20.45447,0.55,62534
p01_g001\p01_g001_0224.T.CW.mat,0.00504,20.45447,0.55,62538
p01_g001\p01_g001_0225.T.CW.mat,0.00504,20.45447,0.55,62715
p01_g001\p01_g001_0226.T.CW.mat,0.00504,20.45447,0.55,62404
p01_g001\p01_g001_0227.T.CW.mat,0.00504,20.45447,0.55,62571
p01_g001\p01_g001_0228.T.CW.mat,0.00504,20.45447,0.55,62657
p01_g001\p01_g001_0229.T.CW.mat,0.00504,20.45447,0.55,62766
p01_g001\p01_g001_0230.T.CW.mat,0.00504,20.45447,0.55,62610
p01_g002\p01_g002_0201.T.CW.mat,0.00504,20.45447,0.65,70574
p01_g002\p01_g002_0202.T.CW.mat,0.00504,20.45447,0.65,70695
p01_g002\p01_g002_0203.T.CW.mat,0.00504,20.45447,0.65,70627
p01_g002\p01_g002_0204.T.CW.mat,0.00504,20.45447,0.65,70552
p01_g002\p01_g002_0205.T.CW.mat,0.00504,20.45447,0.65,70621
p01_g002\p01_g002_0206.T.CW.mat,0.00504,20.45447,0.65,70692
p01_g002\p01_g002_0207.T.CW.mat,0.00504,20.45447,0.65,70844
p01_g002\p01_g002_0208.T.CW.mat,0.00504,20.45447,0.65,70912
p01_g002\p01_g002_0209.T.CW.mat,0.00504,20.45447,0.65,70836
p01_g002\p01_g002_0210.T.CW.mat,0.00504,20.45447,0.65,70992
p01_g002\p01_g002_0211.T.CW.mat,0.00504,20.45447,0.65,70816
p01_g002\p01_g002_0212.T.CW.mat,0.00504,20.45447,0.65,70797
p01_g002\p01_g002_0213.T.CW.mat,0.00504,20.45447,0.65,70688
p01_g002\p01_g002_0214.T.CW.mat,0.00504,20.45447,0.65,70757
p01_g002\p01_g002_0215.T.CW.mat,0.00504,20.45447,0.65,70859
p01_g002\p01_g002_0216.T.CW.mat,0.00504,20.45447,0.65,70703
p01_g002\p01_g002_0217.T.CW.mat,0.00504,20.45447,0.65,70628
p01_g002\p01_g002_0218.T.CW.mat,0.00504,20.45447,0.65,70771
p01_g002\p01_g002_0219.T.CW.mat,0.00504,20.45447,0.65,70870
p01_g002\p01_g002_0220.T.CW.mat,0.00504,20.45447,0.65,70786
p01_g002\p01_g002_0221.T.CW.mat,0.00504,20.45447,0.65,70821
p01_g002\p01_g002_0222.T.CW.mat,0.00504,20.45447,0.65,71000
p01_g002\p01_g002_0223.T.CW.mat,0.00504,20.45447,0.65,70677
p01_g002\p01_g002_0224.T.CW.mat,0.00504,20.45447,0.65,70605
p01_g002\p01_g002_0225.T.CW.mat,0.00504,20.45447,0.65,70805
p01_g002\p01_g002_0226.T.CW.mat,0.00504,20.45447,0.65,70645
