image,ua,us,g,run
g001\a001_s001_g001_0071.T.CW.mat,0.05,10,-1,71
g001\a001_s001_g001_0072.T.CW.mat,0.05,10,-1,72
g001\a001_s001_g001_0073.T.CW.mat,0.05,10,-1,73
g001\a001_s001_g001_0074.T.CW.mat,0.05,10,-1,74
g001\a001_s001_g001_0075.T.CW.mat,0.05,10,-1,75
g001\a001_s001_g001_0076.T.CW.mat,0.05,10,-1,76
g001\a001_s001_g001_0077.T.CW.mat,0.05,10,-1,77
g001\a001_s001_g001_0078.T.CW.mat,0.05,10,-1,78
g001\a001_s001_g001_0079.T.CW.mat,0.05,10,-1,79
g001\a001_s001_g001_0080.T.CW.mat,0.05,10,-1,80
g001\a001_s001_g001_0081.T.CW.mat,0.05,10,-1,81
g001\a001_s001_g001_0082.T.CW.mat,0.05,10,-1,82
g001\a001_s001_g001_0083.T.CW.mat,0.05,10,-1,83
g001\a001_s001_g001_0084.T.CW.mat,0.05,10,-1,84
g001\a001_s001_g001_0085.T.CW.mat,0.05,10,-1,85
g001\a001_s001_g001_0086.T.CW.mat,0.05,10,-1,86
g001\a001_s001_g001_0087.T.CW.mat,0.05,10,-1,87
g001\a001_s001_g001_0088.T.CW.mat,0.05,10,-1,88
g001\a001_s001_g001_0089.T.CW.mat,0.05,10,-1,89
g001\a001_s001_g001_0090.T.CW.mat,0.05,10,-1,90
g001\a001_s001_g001_0091.T.CW.mat,0.05,10,-1,91
g001\a001_s001_g001_0092.T.CW.mat,0.05,10,-1,92
g001\a001_s001_g001_0093.T.CW.mat,0.05,10,-1,93
g001\a001_s001_g001_0094.T.CW.mat,0.05,10,-1,94
g001\a001_s001_g001_0095.T.CW.mat,0.05,10,-1,95
g001\a001_s001_g001_0096.T.CW.mat,0.05,10,-1,96
g001\a001_s001_g001_0097.T.CW.mat,0.05,10,-1,97
g001\a001_s001_g001_0098.T.CW.mat,0.05,10,-1,98
g001\a001_s001_g001_0099.T.CW.mat,0.05,10,-1,99
g001\a001_s001_g001_0100.T.CW.mat,0.05,10,-1,100
g002\a001_s001_g002_0071.T.CW.mat,0.05,10,-0.975,71
g002\a001_s001_g002_0072.T.CW.mat,0.05,10,-0.975,72
g002\a001_s001_g002_0073.T.CW.mat,0.05,10,-0.975,73
g002\a001_s001_g002_0074.T.CW.mat,0.05,10,-0.975,74
g002\a001_s001_g002_0075.T.CW.mat,0.05,10,-0.975,75
g002\a001_s001_g002_0076.T.CW.mat,0.05,10,-0.975,76
g002\a001_s001_g002_0077.T.CW.mat,0.05,10,-0.975,77
g002\a001_s001_g002_0078.T.CW.mat,0.05,10,-0.975,78
g002\a001_s001_g002_0079.T.CW.mat,0.05,10,-0.975,79
g002\a001_s001_g002_0080.T.CW.mat,0.05,10,-0.975,80
g002\a001_s001_g002_0081.T.CW.mat,0.05,10,-0.975,81
g002\a001_s001_g002_0082.T.CW.mat,0.05,10,-0.975,82
g002\a001_s001_g002_0083.T.CW.mat,0.05,10,-0.975,83
g002\a001_s001_g002_0084.T.CW.mat,0.05,10,-0.975,84
g002\a001_s001_g002_0085.T.CW.mat,0.05,10,-0.975,85
g002\a001_s001_g002_0086.T.CW.mat,0.05,10,-0.975,86
g002\a001_s001_g002_0087.T.CW.mat,0.05,10,-0.975,87
g002\a001_s001_g002_0088.T.CW.mat,0.05,10,-0.975,88
g002\a001_s001_g002_0089.T.CW.mat,0.05,10,-0.975,89
g002\a001_s001_g002_0090.T.CW.mat,0.05,10,-0.975,90
g002\a001_s001_g002_0091.T.CW.mat,0.05,10,-0.975,91
g002\a001_s001_g002_0092.T.CW.mat,0.05,10,-0.975,92
g002\a001_s001_g002_0093.T.CW.mat,0.05,10,-0.975,93
g002\a001_s001_g002_0094.T.CW.mat,0.05,10,-0.975,94
g002\a001_s001_g002_0095.T.CW.mat,0.05,10,-0.975,95
g002\a001_s001_g002_0096.T.CW.mat,0.05,10,-0.975,96
g002\a001_s001_g002_0097.T.CW.mat,0.05,10,-0.975,97
g002\a001_s001_g002_0098.T.CW.mat,0.05,10,-0.975,98
g002\a001_s001_g002_0099.T.CW.mat,0.05,10,-0.975,99
g002\a001_s001_g002_0100.T.CW.mat,0.05,10,-0.975,100
g003\a001_s001_g003_0071.T.CW.mat,0.05,10,-0.95,71
g003\a001_s001_g003_0072.T.CW.mat,0.05,10,-0.95,72
g003\a001_s001_g003_0073.T.CW.mat,0.05,10,-0.95,73
g003\a001_s001_g003_0074.T.CW.mat,0.05,10,-0.95,74
g003\a001_s001_g003_0075.T.CW.mat,0.05,10,-0.95,75
g003\a001_s001_g003_0076.T.CW.mat,0.05,10,-0.95,76
g003\a001_s001_g003_0077.T.CW.mat,0.05,10,-0.95,77
g003\a001_s001_g003_0078.T.CW.mat,0.05,10,-0.95,78
g003\a001_s001_g003_0079.T.CW.mat,0.05,10,-0.95,79
g003\a001_s001_g003_0080.T.CW.mat,0.05,10,-0.95,80
g003\a001_s001_g003_0081.T.CW.mat,0.05,10,-0.95,81
g003\a001_s001_g003_0082.T.CW.mat,0.05,10,-0.95,82
g003\a001_s001_g003_0083.T.CW.mat,0.05,10,-0.95,83
g003\a001_s001_g003_0084.T.CW.mat,0.05,10,-0.95,84
