image,ua,us,g,run
g001\a001_s001_g001_0001.T.CW.mat,0.05,10,-1,1
g001\a001_s001_g001_0002.T.CW.mat,0.05,10,-1,2
g001\a001_s001_g001_0003.T.CW.mat,0.05,10,-1,3
g001\a001_s001_g001_0004.T.CW.mat,0.05,10,-1,4
g001\a001_s001_g001_0005.T.CW.mat,0.05,10,-1,5
g001\a001_s001_g001_0006.T.CW.mat,0.05,10,-1,6
g001\a001_s001_g001_0007.T.CW.mat,0.05,10,-1,7
g001\a001_s001_g001_0008.T.CW.mat,0.05,10,-1,8
g001\a001_s001_g001_0009.T.CW.mat,0.05,10,-1,9
g001\a001_s001_g001_0010.T.CW.mat,0.05,10,-1,10
g001\a001_s001_g001_0011.T.CW.mat,0.05,10,-1,11
g001\a001_s001_g001_0012.T.CW.mat,0.05,10,-1,12
g001\a001_s001_g001_0013.T.CW.mat,0.05,10,-1,13
g001\a001_s001_g001_0014.T.CW.mat,0.05,10,-1,14
g001\a001_s001_g001_0015.T.CW.mat,0.05,10,-1,15
g001\a001_s001_g001_0016.T.CW.mat,0.05,10,-1,16
g001\a001_s001_g001_0017.T.CW.mat,0.05,10,-1,17
g001\a001_s001_g001_0018.T.CW.mat,0.05,10,-1,18
g001\a001_s001_g001_0019.T.CW.mat,0.05,10,-1,19
g001\a001_s001_g001_0020.T.CW.mat,0.05,10,-1,20
g001\a001_s001_g001_0021.T.CW.mat,0.05,10,-1,21
g001\a001_s001_g001_0022.T.CW.mat,0.05,10,-1,22
g001\a001_s001_g001_0023.T.CW.mat,0.05,10,-1,23
g001\a001_s001_g001_0024.T.CW.mat,0.05,10,-1,24
g001\a001_s001_g001_0025.T.CW.mat,0.05,10,-1,25
g001\a001_s001_g001_0026.T.CW.mat,0.05,10,-1,26
g001\a001_s001_g001_0027.T.CW.mat,0.05,10,-1,27
g001\a001_s001_g001_0028.T.CW.mat,0.05,10,-1,28
g001\a001_s001_g001_0029.T.CW.mat,0.05,10,-1,29
g001\a001_s001_g001_0030.T.CW.mat,0.05,10,-1,30
g001\a001_s001_g001_0031.T.CW.mat,0.05,10,-1,31
g001\a001_s001_g001_0032.T.CW.mat,0.05,10,-1,32
g001\a001_s001_g001_0033.T.CW.mat,0.05,10,-1,33
g001\a001_s001_g001_0034.T.CW.mat,0.05,10,-1,34
g001\a001_s001_g001_0035.T.CW.mat,0.05,10,-1,35
g001\a001_s001_g001_0036.T.CW.mat,0.05,10,-1,36
g001\a001_s001_g001_0037.T.CW.mat,0.05,10,-1,37
g001\a001_s001_g001_0038.T.CW.mat,0.05,10,-1,38
g001\a001_s001_g001_0039.T.CW.mat,0.05,10,-1,39
g001\a001_s001_g001_0040.T.CW.mat,0.05,10,-1,40
g001\a001_s001_g001_0041.T.CW.mat,0.05,10,-1,41
g001\a001_s001_g001_0042.T.CW.mat,0.05,10,-1,42
g001\a001_s001_g001_0043.T.CW.mat,0.05,10,-1,43
g001\a001_s001_g001_0044.T.CW.mat,0.05,10,-1,44
g001\a001_s001_g001_0045.T.CW.mat,0.05,10,-1,45
g001\a001_s001_g001_0046.T.CW.mat,0.05,10,-1,46
g001\a001_s001_g001_0047.T.CW.mat,0.05,10,-1,47
g001\a001_s001_g001_0048.T.CW.mat,0.05,10,-1,48
g001\a001_s001_g001_0049.T.CW.mat,0.05,10,-1,49
g001\a001_s001_g001_0050.T.CW.mat,0.05,10,-1,50
g001\a001_s001_g001_0051.T.CW.mat,0.05,10,-1,51
g001\a001_s001_g001_0052.T.CW.mat,0.05,10,-1,52
g001\a001_s001_g001_0053.T.CW.mat,0.05,10,-1,53
g001\a001_s001_g001_0054.T.CW.mat,0.05,10,-1,54
g001\a001_s001_g001_0055.T.CW.mat,0.05,10,-1,55
g001\a001_s001_g001_0056.T.CW.mat,0.05,10,-1,56
g001\a001_s001_g001_0057.T.CW.mat,0.05,10,-1,57
g001\a001_s001_g001_0058.T.CW.mat,0.05,10,-1,58
g001\a001_s001_g001_0059.T.CW.mat,0.05,10,-1,59
g001\a001_s001_g001_0060.T.CW.mat,0.05,10,-1,60
g001\a001_s001_g001_0061.T.CW.mat,0.05,10,-1,61
g001\a001_s001_g001_0062.T.CW.mat,0.05,10,-1,62
g001\a001_s001_g001_0063.T.CW.mat,0.05,10,-1,63
g001\a001_s001_g001_0064.T.CW.mat,0.05,10,-1,64
g001\a001_s001_g001_0065.T.CW.mat,0.05,10,-1,65
g001\a001_s001_g001_0066.T.CW.mat,0.05,10,-1,66
g001\a001_s001_g001_0067.T.CW.mat,0.05,10,-1,67
g001\a001_s001_g001_0068.T.CW.mat,0.05,10,-1,68
g001\a001_s001_g001_0069.T.CW.mat,0.05,10,-1,69
